User_ID_x,14314844,16077441,16313440,16570951,16579411,19363152,20415005,23775246,23795703,24176655,24294066,24328805,25794695,26517251,27944341,28387976,28913772,29134922,30043610,30980826,33831682,34955929,36864149,38900178,39106123,43251355,43958210,43962567,44565886,47545018,48009323,48240104,49360369,52242864,56838981,57461026,80605638,87878811,92643660,103707227,107801651,126410996,145740792,161272503,178863237,193192630,205367013,224333112,237754267,260277195,294431458,304185897,305440110,335915054,355258993,357625948,358852183,380404913,417201420,453561436,457123526,480859386,553480874,565501978,566898139,567649661,574670873,597865491,603741920,616303472,747289232,753498337,846447662,863113304,863889445,865780110,887569722,904176902,938272970,938528232,1202310276,1208304842,1210688401,1250393527,1292620070,1309271143,1323411324,1430129144,1447960080,1538792221,1574070996,1601491392,1613729870,1616176478,1659062558,1697810262,1701231847,2174118859,2216532829,2342293747,2373807873,2421964502,2447898228,2502484436,2608084976,2737178169,2762876709,2782373709,2834370990,2842797465,2869158160,2904178633,2931883207,2933545119,2933932956,3000593912,3141654004,3207939867,3244012093,3255718752,3272381252,3311276608,3352331979,3358621409
14314844,0,0,4,1,1,1,28,0,1,1,1,1,1,0,0,1,0,0,7,1,0,1,2,0,0,1,0,1,0,1,1,1,2,1,0,1,2,0,1,0,0,0,0,0,0,17,0,14,0,0,0,0,0,0,1,4,0,0,0,0,1,1,0,0,0,0,9,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,16,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
16077441,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,2,2,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16313440,4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16570951,1,0,0,0,2,0,5,0,27,0,0,0,0,35,21,47,1,1,7,3,2,16,36,0,1,2,4,5,0,6,0,34,3,0,30,13,0,0,6,1,19,2,0,37,1,7,0,8,0,1,2,0,0,4,2,2,0,0,0,6,53,0,8,8,1,19,6,6,1,10,36,15,34,19,39,1,15,1,1,0,7,32,0,0,35,43,3,0,2,0,0,53,0,0,3,18,0,8,12,0,0,28,5,7,1,14,26,0,2,1,0,27,1,0,3,0,0,0,0,0,5,2,0,1
16579411,1,0,0,2,0,0,1,0,27,0,0,0,0,22,11,15,0,0,0,1,1,13,24,0,1,1,3,0,0,1,0,4,0,2,32,7,0,0,15,1,9,0,0,9,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,3,28,0,5,20,0,3,1,1,0,8,20,8,15,12,18,0,23,0,0,0,4,5,0,0,13,16,0,0,0,0,1,17,0,0,0,2,0,1,0,0,0,10,4,4,0,10,8,0,0,0,0,8,0,0,1,0,0,0,0,0,1,4,0,3
19363152,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20415005,28,0,0,5,1,0,0,0,5,3,2,0,0,4,2,1,0,1,38,4,0,1,7,1,0,2,0,2,0,2,1,5,13,0,2,0,1,0,4,1,1,0,0,9,4,102,0,12,0,0,1,0,0,0,2,26,0,0,0,0,8,1,0,1,0,0,131,0,2,0,4,0,13,1,6,0,2,5,0,2,0,1,1,0,3,1,0,0,1,0,0,3,0,0,9,0,1,53,91,0,0,2,3,0,0,0,2,2,1,1,0,1,2,0,0,0,0,0,0,0,19,0,0,0
23775246,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23795703,1,0,0,27,27,0,5,2,0,0,2,0,2,600,131,177,15,1,16,16,17,423,221,0,1,16,20,8,0,21,0,68,5,6,610,109,0,0,112,0,149,1,0,238,2,18,0,16,1,2,12,0,2,8,2,3,0,0,0,20,467,0,67,228,1,52,5,27,5,41,233,89,451,255,321,2,568,0,1,4,28,110,4,0,312,143,5,0,2,0,3,362,3,4,10,29,2,8,19,0,3,138,47,39,1,228,161,1,8,0,1,210,4,1,1,8,1,0,0,0,33,40,1,5
